date,Closed PnL
2024-08-21,656.200925
2024-08-23,1005.30527
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,231.236918
2024-08-27,0.0
2024-08-28,1333.359645
2024-08-29,0.0
2024-08-30,256.464
2024-08-31,10.882801
2024-09-01,-826.349863
2024-09-03,9949.501624
2024-09-04,0.0
2024-09-05,1147.595856
2024-09-06,0.0
2024-09-07,648.984412
2024-09-08,18082.071276
2024-09-09,0.0
2024-09-10,396.06272
2024-09-11,102.90894
2024-09-12,6310.967676
2024-09-14,0.0
2024-09-18,-878.684794
2024-09-19,0.0
2024-09-20,9585.03428
2024-09-21,36165.56933
2024-09-22,0.0
2024-09-23,334.760796
2024-09-24,0.0
2024-09-25,0.0
2024-09-26,439.812513
2024-09-27,0.0
2024-09-28,0.0
2024-09-30,2710.626288
2024-10-01,-1517.091342
2024-10-03,2482.9272
2024-10-04,5207.443414
2024-10-05,2101.741695
2024-10-06,31.266804999999998
2024-10-07,11977.734907
2024-10-08,0.0
2024-10-09,-219.729659
2024-10-10,0.0
2024-10-11,991.114334
2024-10-12,39325.770231
2024-10-13,0.0
2024-10-14,1913.6195799999998
2024-10-15,1170.226076
2024-10-16,219.480876
2024-10-17,36.11496
2024-10-18,333.219141
2024-10-19,0.0
2024-10-20,389.155797
2024-10-21,2464.915564
2024-10-22,0.0
2024-10-23,-46.489941
2024-10-25,13235.862071
2024-10-26,42471.99413
2024-10-27,666.6623079999999
2024-10-28,167.280162
2024-10-29,801.170876
2024-10-30,9.150023
2024-10-31,1214.043811
2024-11-01,-164.08950099999998
2024-11-02,983.443176
2024-11-03,3588.1794950000003
2024-11-04,389.743164
2024-11-05,251.604742
2024-11-06,4320.631811
2024-11-07,1876.812082
2024-11-08,847.7766200000001
2024-11-09,0.0
2024-11-10,8885.327477
2024-11-11,6749.630996
2024-11-12,319051.554217
2024-11-13,7846.402274
2024-11-14,4563.509225
2024-11-15,4140.740438
2024-11-16,2769.521909
2024-11-17,882.975285
2024-11-18,4470.815187
2024-11-19,2958.268991
2024-11-20,4210.0928969999995
2024-11-21,1692.430891
2024-11-22,-18105.345617
2024-11-23,2901.531638
2024-11-24,945.550386
2024-11-25,5523.740734
2024-11-26,1094.809359
2024-11-27,-2654.495633
2024-11-28,-127075.399585
2024-11-29,176844.994152
2024-11-30,37316.69352
2024-12-01,-1925.519024
2024-12-02,913.8817869999998
2024-12-03,3039.166
2024-12-04,-592.6458390000001
2024-12-05,0.0
2024-12-06,-21886.531493
2024-12-07,1412.314654
2024-12-08,858.6705000000001
2024-12-10,541.55471
2024-12-11,3494.399394
2024-12-12,599151.795008
2024-12-13,31935.901745
2024-12-14,167801.399244
2024-12-15,97525.315279
2024-12-16,166774.344133
2024-12-17,219591.305172
2024-12-18,13682.994673
2024-12-19,62744.004486
2024-12-20,254969.660039
2024-12-21,150022.163157
2024-12-22,352197.163973
2024-12-23,-29430.626577
2024-12-24,14813.780116000002
2024-12-25,756.6570469999998
2024-12-26,60228.639722
2024-12-27,2672.811035
2024-12-28,940.673623
2024-12-29,2884.067927
2024-12-30,9009.738137
2024-12-31,5445.01281
2025-01-01,-9528.065345
2025-01-02,32300.205017
2025-01-03,10596.108968
2025-01-04,-2202.662242
2025-01-05,54536.829297000004
2025-01-13,9655.429352
2025-01-14,16069.512355
2025-01-15,14819.5883
2025-01-16,20807.709328
2025-01-17,7006.415608
2025-01-18,443.2330819999991
2025-01-19,87923.799302
2025-01-20,87277.239173
2025-01-21,11077.839421
2025-01-22,20524.408057
2025-01-23,101256.24216
2025-01-24,10602.779738
2025-01-25,-10348.016255999999
2025-01-26,40823.466668
2025-01-27,41331.765392
2025-01-28,17979.613973
2025-01-29,23421.01147
2025-01-30,23097.471385
2025-01-31,35868.296773
2025-02-01,8716.519087
2025-02-02,162854.759623
2025-02-03,66914.320708
2025-02-04,202212.740938
2025-02-13,27829.534238
2025-02-14,213860.675308
2025-02-15,45042.92701
2025-02-16,2369.478425
2025-02-17,1818.573295
2025-02-18,91204.672403
2025-02-19,14985.794701
2025-02-20,46008.794102
2025-02-21,119693.49395
2025-02-22,25278.704178
2025-02-23,10656.934251
2025-02-24,38470.176242
2025-02-25,204762.177034
2025-02-26,63229.063129
2025-02-27,-36525.167517
2025-02-28,225628.108748
2025-03-01,6028.486793
2025-03-02,348871.326269
2025-03-03,616413.032233
2025-03-04,-2365.9612760000005
2025-03-13,14114.870873
2025-03-14,68646.160089
2025-03-15,78694.624572
2025-03-16,-7910.943544999998
2025-03-17,26163.906513
2025-03-18,72322.788824
2025-03-19,29374.682341
2025-03-20,10246.859436
2025-03-21,6951.270374
2025-03-22,12498.535254
2025-03-23,14047.421585
2025-03-24,107878.961301
2025-03-25,32030.90678
2025-03-26,15802.167427
2025-03-27,58825.359221
2025-03-28,21337.179335
2025-03-29,12098.872931
2025-03-30,15795.11514
2025-03-31,6978.184557
2025-04-01,2553.537968
2025-04-02,416876.88812
2025-04-03,182075.566585
2025-04-04,-25515.678949999998
2025-04-13,48696.021521
2025-04-14,45680.443063
2025-04-15,72357.706282
2025-04-16,58631.730257
2025-04-17,5427.919886
2025-04-18,4880.404743999999
2025-04-19,71950.577495
2025-04-20,25060.341936
2025-04-21,34369.267906999994
2025-04-22,58652.763578
2025-04-23,-419020.225731
2025-04-24,50704.395965
2025-04-25,20218.859206
2025-04-26,-4125.753942
2025-04-27,2702.067468
2025-04-28,36906.813759
2025-04-29,125749.613427
2025-04-30,14003.797269
2025-05-01,3187.719363
2025-05-02,56706.235562
2025-05-03,269328.365917
2025-05-04,35907.33771
2025-06-01,6064.185393
2025-06-02,33803.799733
2025-06-03,16101.125561
2025-06-04,47053.449272
2025-07-01,16098.227531
2025-07-02,22450.002091
2025-07-03,150236.061627
2025-07-04,34527.370305
2025-08-01,130117.090554
2025-08-02,586.703253
2025-08-03,24700.773359
2025-08-04,34899.394798
2025-09-01,46975.928902
2025-09-02,150551.82949200002
2025-09-03,19773.457395
2025-09-04,43120.444797
2025-10-01,-10116.875552000003
2025-10-02,63908.49465
2025-10-03,-10010.02727
2025-10-04,158261.822261
2025-11-01,2269.080536
2025-11-02,-6093.784817
2025-11-03,-76880.729036
2025-11-04,126406.479081
2025-12-01,5742.241803
2025-12-02,19848.635032
2025-12-03,288105.984215
2025-12-04,410419.694533
